String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
wQg2,0,206696,1,634
Lζ%Σ,0,199858,1,724
ψPTκ,0,317235,1,1192
$ιβφ,0,429841,1,1561
pBηπ,0,941246,1,3581
V#τψ,0,142033,1,439
x#Uu,0,410841,1,1291
QHζΛ,0,1331717,1,3584
BXWx,0,1118004,1,1201
σδKc,0,133253,1,478
cZθe,0,1269031,1,4310
δaχC,0,33450,1,19
PQΩλ,0,847928,1,3878
Y%5τ,0,115011,1,487
φKQJ,0,108402,1,451
SrθΣ,0,46842,1,79
gW1J,0,38300,1,70
muSω,0,446997,1,1165
lε!2,0,373198,1,1168
8OJΨ,0,521717,1,1066
eQWπ,0,898624,1,2938
β0φλ,0,27166,1,43
NF7v,0,250420,1,736
7soH,0,661172,1,2134
9RνΩ,0,547156,1,1816
YβEo,0,37437,1,118
ω9pυ,0,1351265,1,3420
1zBA,0,33443,1,115
%Lbh,0,262533,1,1159
WMlΦ,0,540121,1,1105
5n6I,0,161212,1,448
FΠnf,0,389129,1,1111
QnηW,0,175870,1,478
χI$A,0,276638,1,829
β0vμ,0,220983,1,328
νsJz,0,809974,1,649
lqRτ,0,69778,1,121
qψfΩ,0,864352,1,2548
7ζQL,0,265660,1,1174
ΨιO3,0,231726,1,1045
Zσ94,0,670765,1,3212
xBιJ,0,297293,1,1420
!cpγ,0,84020,1,346
zNξΣ,0,355454,1,787
iμhΣ,0,497159,1,1285
oτBz,0,814246,1,2197
BVψ7,0,1848494,1,2131
Σ$γw,0,397776,1,1204
1%7R,0,309246,1,940
k3πb,0,480915,1,1453
ΓfΣε,0,148360,1,736
PφHK,0,74292,1,208
π0V%,0,184360,1,755
ηXβb,0,1799197,1,3005
KΞλJ,0,300269,1,1075
μuιΦ,0,284089,1,733
aU7u,0,581473,1,1489
GIus,0,198403,1,652
1wvq,0,472885,1,868
cδιk,0,862860,1,961
ΦΣ@K,0,190852,1,478
τΠnΛ,0,91169,1,187
RΓβλ,0,683977,1,3338
fΩωr,0,412579,1,2068
ψkbg,0,1311423,1,4289
πΘLp,0,230989,1,553
4Inr,0,64970,1,82
!dc7,0,587717,1,1798
νΛΣφ,0,558486,1,1816
ΨηlE,0,388278,1,1012
Λ#fn,0,481110,1,1192
κNτλ,0,244270,1,751
WKYt,0,227220,1,670
Dφgn,0,790689,1,2287
3QμS,0,106898,1,391
δUfS,0,991701,1,4685
ε!yσ,0,181901,1,676
δψs3,0,94171,1,319
YeτQ,0,660319,1,1858
jΦ!@,0,803648,1,2248
c!6Z,0,514164,1,1510
5εGζ,0,800762,1,2338
!ΨPZ,0,1015187,1,3038
ΠΣδQ,0,56302,1,160
Y9αo,0,429460,1,835
δaφχ,0,414503,1,1798
$9νt,0,680103,1,910
0z1δ,0,62870,1,154
@Uτσ,0,200625,1,514
TV6Δ,0,168406,1,514
YcεL,0,213828,1,655
tμΦd,0,384474,1,1153
Lnυκ,0,56825,1,157
ΛMXe,0,107747,1,331
j3ωW,0,264923,1,692
RfbΔ,0,740520,1,2260
ηYΨΦ,0,917867,1,673
μΩkZ,0,427139,1,1246
ηλ#S,0,517072,1,1468
jJrζ,0,289887,1,889
9vUΓ,0,1216810,1,4028
vI4U,0,752127,1,2644
SμR2,0,1815488,1,5429
n!b7,0,578586,1,1861
ζzcU,0,25336,1,25
T1w@,0,755454,1,1504
NΓMλ,0,165323,1,367
ΔζIS,0,3557921,1,2695
χN7τ,0,67229,1,208
hcνφ,0,160206,1,466
Wξtυ,0,431356,1,1426
εHyv,0,520157,1,1654
exMu,0,22740,1,49
μl4F,0,2728408,1,6378
0ΣTM,0,137368,1,334
BMg5,0,43257,1,79
piKQ,0,527970,1,1534
α9w3,0,314922,1,937
GQΩS,0,268191,1,973
$wjΘ,0,369314,1,1627
jSQE,0,288410,1,1522
ηqiα,0,132144,1,334
9Qσc,0,317863,1,1534
9δWK,0,701264,1,3254
hmcj,0,31252,1,91
kJWZ,0,172762,1,772
haΔΛ,0,207141,1,886
SQΨb,0,19451,1,46
γqiP,0,333541,1,967
gηik,0,25989,1,121
JΠWi,0,370558,1,1621
@σθn,0,509588,1,2380
I%8u,0,167234,1,766
kDpS,0,125811,1,523
Wδ0σ,0,159734,1,529
bβ50,0,136464,1,643
τLNZ,0,81681,1,142
ωIGν,0,96174,1,313
4Kxτ,0,449454,1,1630
yt#η,0,86381,1,403
mμzx,0,368945,1,1783
nσβ3,0,356370,1,1612
hWLi,0,8190,1,4
φsMh,0,657783,1,3113
YEci,0,101665,1,514
ι8Aδ,0,90918,1,538
S3tΞ,0,153884,1,827
υδFN,0,687363,1,2869
ψiX2,0,1380520,1,3857
ψ@Bη,0,265889,1,868
Kikd,0,771740,1,3344
QrΣk,0,454810,1,1829
αQCΠ,0,685632,1,2008
Hleh,0,277767,1,592
mδπT,0,273006,1,886
efRμ,0,323394,1,1108
u0φn,0,714221,1,2458
Ξμ6Σ,0,156655,1,460
Θγsν,0,150917,1,451
yzσO,0,489080,1,1402
α4sP,0,439679,1,1429
ηG9Δ,0,1006251,1,2905
wΨT!,0,637912,1,1948
dΣTδ,0,481602,1,1171
BΘλC,0,170289,1,583
BKΔτ,0,300279,1,793
0ΨB4,0,253424,1,844
εjΛS,0,109558,1,268
Pg84,0,97884,1,331
Σ!γω,0,716210,1,2134
p5TH,0,34118,1,64
PzΩτ,0,710378,1,2356
χηcD,0,1142825,1,439
OIty,0,326236,1,814
8$λV,0,184430,1,517
λTΩ#,0,424721,1,1093
T2πμ,0,109195,1,370
Pryv,0,139199,1,358
1Hrd,0,428541,1,1372
ειwm,0,377521,1,982
6zb@,0,148558,1,418
0X58,0,374744,1,1072
dvΛF,0,133006,1,427
d$κβ,0,1787892,1,5165
J2δΨ,0,651953,1,1753
7jhy,0,70676,1,232
φL$g,0,203770,1,754
ΓψΛC,0,353768,1,1084
3SiX,0,108992,1,352
δqJg,0,205519,1,685
2yξΨ,0,270246,1,1108
lζωe,0,226036,1,856
$RΦζ,0,357755,1,1438
60χI,0,109130,1,328
κcaΩ,0,342785,1,1201
kξLu,0,810693,1,2671
k#θD,0,506456,1,1705
FΨir,0,183089,1,742
T7bH,0,61948,1,154
ξ5rB,0,503271,1,1936
XυWO,0,420341,1,1357
VLφB,0,774664,1,2899
λQπG,0,48589,1,175
ηV3K,0,431664,1,1801
H%jΛ,0,131737,1,466
ιOεΠ,0,285528,1,1081
kfZi,0,344589,1,1129
υμ$4,0,16695,1,19
μkΔO,0,129603,1,337
BfηΦ,0,191934,1,583
nνzθ,0,86864,1,310
Bθ2l,0,206247,1,634
ΩNCv,0,317879,1,1078
φxΠ4,0,132022,1,547
hnΔp,0,187352,1,640
Rohψ,0,53228,1,175
Ω6HT,0,671718,1,2374
7dγc,0,243506,1,940
Uy9F,0,121527,1,433
#d8C,0,9285,1,10
3βkQ,0,262389,1,1225
L0hN,0,119319,1,451
#χ%@,0,293294,1,1045
bπωo,0,141028,1,550
kdπ@,0,124133,1,487
isβ6,0,609218,1,2053
Iσ0w,0,1055056,1,4145
3Q4E,0,42587,1,64
nJlb,0,442650,1,1213
r%c2,0,215763,1,616
%ηΘι,0,487720,1,1495
υλgΣ,0,578920,1,2002
d@εΛ,0,21438,1,37
tGλν,0,694000,1,2446
jαλγ,0,112143,1,292
VπκO,0,48986,1,196
env5,0,601966,1,2365
%@Qθ,0,915121,1,3851
GΘea,0,71383,1,199
DYeΞ,0,197950,1,445
6!qY,0,412440,1,1474
