String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ΔBIζτ8,0,350417500,1,35714
oUκ5bu,0,252259165,1,25874
K@ιUOν,0,75432426,1,8997
6wΘhΨΩ,0,27586461,1,3133
oκUQ!L,0,298963938,1,25428
ι%Tsτg,0,428039868,1,26834
1νhOyV,0,125315745,1,8755
4CAruj,0,37819529,1,2577
KχJf1s,0,332193125,1,23205
sFeLΨ#,0,378361456,1,22992
CζRγμt,0,76806205,1,5955
LChψαλ,0,146123872,1,8128
ZncUQO,0,534742665,1,28152
eHTrLΣ,0,352647764,1,23154
ΩψSθΨΦ,0,537619574,1,37936
2TPΘnΠ,0,35056710,1,2575
SEVGQn,0,359232861,1,23474
3Fωmφj,0,23932031,1,1955
wnJΩξ0,0,329408989,1,23028
oαΘη3δ,0,159735477,1,11492
βgFcΠε,0,371903806,1,26514
χ2oηΦΛ,0,221154255,1,22592
gWχoιO,0,146328697,1,14675
rQ5w29,0,321346552,1,32629
φCψκLd,0,299732549,1,28083
ΛSfμφε,0,342687857,1,34096
γt$Θsθ,0,182363381,1,18805
KΨHpgi,0,145154559,1,15492
ωqPoKp,0,407953580,1,41940
JΘβnΣl,0,65245241,1,6693
rzuΞb!,0,125532751,1,12514
gf2tjE,0,227591640,1,22708
υmνλBγ,0,371973042,1,37540
5#κEZl,0,79200535,1,9219
Xυ8Igm,0,216256701,1,22625
Q%huSX,0,78847340,1,8981
JvFκAc,0,219475562,1,21207
Pdrλap,0,32470009,1,3761
O12τνξ,0,192785328,1,15441
HSzνfσ,0,13297591,1,1215
Q@Re2υ,0,179366406,1,15892
ιtZ7rυ,0,313708771,1,36371
JUZΠPt,0,26017495,1,3441
G%3DRu,0,194741409,1,22625
ιαζβX$,0,294487832,1,33029
LyO5Nψ,0,149506847,1,14914
r9ζNΞy,0,160545704,1,16017
φπυIdΩ,0,322041959,1,35011
3υE@1I,0,116707403,1,13894
kMθνZΞ,0,169062606,1,15841
KCyιθi,0,78888234,1,8466
KκYS19,0,233354448,1,20821
υXqe75,0,359168663,1,38856
MQUΛβτ,0,6176266,1,815
ΛRvDsπ,0,401051209,1,36976
H3νΦ!B,0,185817088,1,12477
rψCΓ8a,0,260331977,1,25316
xuL9sP,0,380236149,1,41796
ωυ!G%y,0,206140414,1,23504
ιrκΣD%,0,196173874,1,17985
hw!xYA,0,231101281,1,16917
bηqΠΩW,0,104380590,1,8304
ΨN%τκ9,0,368521158,1,29399
RWζιβM,0,75708245,1,7042
#θrδ6j,0,623519827,1,42342
5λWΔrv,0,108226766,1,6099
ωqsηxβ,0,577454837,1,34176
wεZeOQ,0,501010467,1,35029
esvμIυ,0,145967290,1,10672
ιtθ@UX,0,471654441,1,31107
ηΠμ2DM,0,312252922,1,27954
υTha2Φ,0,374625493,1,33029
τωxIθS,0,714751173,1,34803
κχz$ΛR,0,330711446,1,15715
VξβlWΨ,0,174665862,1,7699
fσh3Tε,0,642299374,1,23525
Θ!Gmtu,0,639417262,1,34047
0ξzYsψ,0,171749534,1,7601
zZNβ5F,0,726062188,1,32949
8πβ01O,0,401380289,1,23845
β4XΘLδ,0,421207366,1,23236
LπbR$!,0,64888939,1,4993
ΓδAX1M,0,606521338,1,42022
3%en#A,0,106574553,1,8419
brO5Γ3,0,458644033,1,25428
ΞξεB6Σ,0,530180380,1,36951
σWKυkO,0,474768886,1,30021
βΛNcλb,0,448475058,1,26834
Vu%KG5,0,402887417,1,26310
PωALYΓ,0,324851835,1,21327
ZμΞCeh,0,281622685,1,14690
wvNΛΣ4,0,322475386,1,22930
υ3ιPΛw,0,306618797,1,27439
QΩcΞφy,0,73535901,1,8197
υdΩ#Pγ,0,223089089,1,22496
ζφν6Θy,0,175521010,1,18033
ΛNptεf,0,352378443,1,34416
ΞOΛRkD,0,369012490,1,36614
L#μπkB,0,150625012,1,13108
ζσX6Ωc,0,286375766,1,25026
γp!cCs,0,323457835,1,32225
#mΩQεJ,0,484976301,1,38694
rνtΔΘH,0,109349573,1,8304
vlQko9,0,494540675,1,39636
o%zvFG,0,253210610,1,20821
IaδαυP,0,42745478,1,2771
lUλσ8o,0,222265729,1,18387
89dh$Π,0,5212219,1,653
ψΩ0ωΞA,0,185994714,1,19521
fΣtmη5,0,134708851,1,12946
ueP6r8,0,468827957,1,39972
k27u1Ψ,0,273835059,1,25298
ΘTmWδh,0,373206871,1,34752
Afωψ@h,0,19454833,1,1473
κB3gJE,0,446081230,1,36036
SΠHωκ1,0,188735520,1,19939
gOAΩCZ,0,330232016,1,30849
P%ΨKuξ,0,142318585,1,16532
0CmBY8,0,46049968,1,5333
!DωzVι,0,403591517,1,35314
!yμSΦw,0,411154017,1,38130
ζSYHΞυ,0,280567339,1,25090
ΠνΦ7EM,0,380422469,1,33425
iQVqyO,0,264690892,1,21088
eKUMS9,0,448154793,1,36614
NΞeΠψW,0,78805985,1,6437
ιNO70g,0,538292000,1,39218
vnβεΘ5,0,171155843,1,13775
PχηατR,0,85162531,1,8837
mP2kΛd,0,306558726,1,28625
πxC!Ac,0,336624007,1,32629
2@HΓt5,0,103006030,1,8517
eΘ6πΩχ,0,133914368,1,13186
ΓVΣfΦO,0,233792296,1,21506
