String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
JaNR,0,4748692,1,277
JΦ%#,0,3989658,1,242
!ΩXw,0,8029046,1,427
η3Tg,0,6531775,1,387
XoδΛ,0,3933689,1,237
!δAε,0,11563987,1,412
HyνM,0,6474538,1,257
DQfZ,0,5791666,1,242
ZΘΔC,0,7248819,1,312
aYθZ,0,7570611,1,332
VξTF,0,8246618,1,372
7c$U,0,5516651,1,257
υwQd,0,9620737,1,427
QkZ%,0,4789055,1,262
δRΔx,0,6787978,1,332
7!aκ,0,5671833,1,277
χ9mI,0,6715117,1,392
ΣTlΞ,0,6568623,1,387
#μΨ7,0,11810087,1,407
ε5oT,0,6725151,1,392
Oφ2S,0,5758729,1,337
W$yb,0,4670565,1,282
3mxn,0,4839995,1,242
eλγα,0,4700845,1,282
rκy8,0,5163945,1,312
εbΘR,0,8902461,1,347
5AIF,0,6262630,1,242
O%uΦ,0,7854336,1,277
ΛsGT,0,11842554,1,427
ΩTav,0,7120358,1,387
Gfωξ,0,4441747,1,242
oΞζW,0,6918556,1,312
4χσ!,0,4269340,1,262
BπXω,0,5857967,1,262
ηωτ5,0,7926265,1,312
#%hδ,0,7444783,1,367
Tφt9,0,5143264,1,312
JLυκ,0,3817771,1,242
μζci,0,12140525,1,427
Q5VF,0,5852318,1,332
BΨFυ,0,4620204,1,277
6Nνε,0,3943559,1,242
WzEd,0,8774282,1,337
j%μτ,0,6544044,1,277
GlSΓ,0,6325608,1,262
DχjΠ,0,6543121,1,262
tNΘ5,0,6905256,1,347
ωζZμ,0,7918603,1,412
8φBΩ,0,4605245,1,262
OΞ%Π,0,3974310,1,242
1aσs,0,4010537,1,242
XuiV,0,5163081,1,312
ναΩn,0,5794947,1,347
Bjw0,0,5613538,1,287
βOfΦ,0,6466695,1,357
0βδI,0,5022861,1,257
hμγ!,0,4501284,1,262
yσMΞ,0,5385556,1,322
i%bp,0,5624640,1,337
mcRe,0,6978453,1,412
DJ2δ,0,5175911,1,322
