String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
$βαχ%,0,22333553026,1,402000105
ιΩx2j,0,20159827779,1,402000105
VF$vM,0,21015879584,1,402000105
0EμQm,0,2992840092,1,59823840
χιH8β,0,20691782417,1,402000105
EΞ7χL,0,19976792804,1,402000105
βz75ψ,0,21373880066,1,402000105
QfΠK8,0,21679175564,1,402000105
χσyPΨ,0,21721238549,1,402000105
ΣnΠJα,0,20902072596,1,402000105
ΩBJHθ,0,20011737739,1,402000105
bηΩYU,0,22134077250,1,402000105
vγμκD,0,22507668206,1,402000105
βPνtσ,0,21938467813,1,402000105
xMVKC,0,22630890463,1,402000105
N4Bra,0,20868822112,1,402000105
αd17q,0,20957209075,1,402000105
λ4IeQ,0,21569313718,1,402000105
%TKM0,0,22572261412,1,402000105
d71ΘN,0,22957538941,1,402000105
rTψQζ,0,21336877652,1,402000105
Ω2B3Σ,0,22004028473,1,402000105
χλrΛz,0,21969103490,1,402000105
6I4χz,0,21759922707,1,402000105
τΩ8Ψ4,0,22709341574,1,402000105
m76μΨ,0,23195186083,1,402000105
φwκeι,0,21431182077,1,402000105
yEjΩC,0,22847074501,1,402000105
Γ39Jd,0,21996679539,1,402000105
UγDgΔ,0,22388146405,1,402000105
hF@kI,0,22985899113,1,402000105
Gg#hL,0,21518878915,1,402000105
RdgjΩ,0,20513325800,1,402000105
SxzFK,0,21390486830,1,402000105
kov6κ,0,21978879937,1,402000105
4LπκH,0,23119454106,1,402000105
4ΨΔaε,0,21892567442,1,402000105
t2HTΦ,0,22148536404,1,402000105
2ΔWu#,0,20755968646,1,402000105
τl%8t,0,23479123999,1,402000105
@Grεh,0,22401686572,1,402000105
ηιθdX,0,22460882796,1,402000105
τΩιμ$,0,21856852805,1,402000105
iU%dS,0,21270022512,1,402000105
oτηrκ,0,21952472350,1,402000105
C2#hκ,0,22201033071,1,402000105
#εmHk,0,22055514823,1,402000105
d7Oκυ,0,21734455981,1,402000105
δ5B$d,0,20807246509,1,402000105
ocVψ$,0,22513455091,1,402000105
%7EgM,0,22161959965,1,402000105
1ξsγ8,0,22158048972,1,402000105
υfT8I,0,21503265146,1,402000105
γOHoh,0,20406602673,1,402000105
υΞ1αΔ,0,22406463734,1,402000105
MeqξI,0,21725133153,1,402000105
ΘζΛ!P,0,21743688044,1,402000105
hf7χO,0,21570613524,1,402000105
KlQΞγ,0,21305221972,1,402000105
4Gxκn,0,22481320460,1,402000105
fC0ng,0,22908243763,1,402000105
XΨNτμ,0,22205807884,1,402000105
#FVjβ,0,21324846133,1,402000105
τE4gr,0,22141212099,1,402000105
XFlΨψ,0,20934301653,1,402000105
aΞωσΓ,0,21502611498,1,402000105
nHp!Φ,0,22829661294,1,402000105
CeψWβ,0,21835855888,1,402000105
#OΞ4τ,0,21084832908,1,402000105
WFOri,0,20496684691,1,402000105
Zζ0βν,0,22166208201,1,402000105
ΠFeib,0,21139594963,1,402000105
ΞUιVm,0,22502844278,1,402000105
cdJq9,0,21935748334,1,402000105
$4#αΓ,0,21958658154,1,402000105
mfιqT,0,21066513426,1,402000105
#Ψe0Λ,0,22298498367,1,402000105
ΦJgR@,0,21496439787,1,402000105
rE$xY,0,21875274095,1,402000105
qw4Fu,0,20647358702,1,402000105
Uy6ψπ,0,21013198996,1,402000105
λpQξy,0,22328894762,1,402000105
3VwP7,0,23224519581,1,402000105
DεyF4,0,21974137795,1,402000105
WoKqΛ,0,21756382232,1,402000105
lΔr3O,0,22718046274,1,402000105
xΓΠDζ,0,21238440814,1,402000105
εRFlτ,0,22084995378,1,402000105
hΨO6J,0,21782966390,1,402000105
DΓΘk4,0,23121338344,1,402000105
ε8nB9,0,22614565188,1,402000105
VfFPΩ,0,22216660940,1,402000105
DαYp$,0,22467394317,1,402000105
AλΨΠφ,0,21822557730,1,402000105
RN%ΘW,0,22418305548,1,402000105
FφΔVζ,0,21613311460,1,402000105
5μ3Ik,0,21388990229,1,402000105
Ayt7Y,0,22145730449,1,402000105
ψωγA6,0,22942842181,1,402000105
vHλΞm,0,22171453575,1,402000105
βSφθF,0,22428157792,1,402000105
ηEMpZ,0,23038016842,1,402000105
YyCψ0,0,22771722552,1,402000105
XoΩPV,0,20937378658,1,402000105
mψφμo,0,21914350223,1,402000105
a#RCk,0,21628356083,1,402000105
Jφμ9b,0,22278425984,1,402000105
νrΓfσ,0,21263184911,1,402000105
1LVpd,0,21546718139,1,402000105
lκKjπ,0,22226162696,1,402000105
qσJRΓ,0,22795673018,1,402000105
hUβnJ,0,22123128061,1,402000105
nv!δG,0,22043725673,1,402000105
zΛΣY7,0,22440865507,1,402000105
G06ωc,0,21086723013,1,402000105
τytwx,0,23205249058,1,402000105
γiGfB,0,23048587559,1,402000105
ΓbMTI,0,22623864857,1,402000105
A@#tl,0,22563375673,1,402000105
oΘν3z,0,22327875202,1,402000105
YΔeΞN,0,22725726205,1,402000105
ψW#υJ,0,22715074306,1,402000105
kRΣcH,0,21371772042,1,402000105
5IA4d,0,21831048170,1,402000105
o!κ%Π,0,22062535576,1,402000105
wθRPδ,0,21231892142,1,402000105
sνA8#,0,22619446914,1,402000105
VΣieS,0,22445064611,1,402000105
UυkBα,0,21632181192,1,402000105
φmυΛw,0,21523971007,1,402000105
UιPε#,0,24373714738,1,402000105
#3μA8,0,22614105264,1,402000105
βz6l4,0,20476787902,1,402000105
sTpdh,0,21755074394,1,402000105
λχMYe,0,23093077984,1,402000105
X46τ@,0,20971148503,1,402000105
χr3ΨV,0,21839774870,1,402000105
γ4R7σ,0,22151764437,1,402000105
λQizΓ,0,23191202295,1,402000105
ΘΦVOΛ,0,21220240417,1,402000105
cUkψQ,0,22169750411,1,402000105
dsEνU,0,22912294264,1,402000105
mAζπf,0,20713079174,1,402000105
uΘΔΛΨ,0,23523791999,1,402000105
8ιΔΨμ,0,22368163313,1,402000105
ΨYJεν,0,20910296713,1,402000105
G8RYo,0,20854294183,1,402000105
Xπψw5,0,21096468797,1,402000105
4ιWαP,0,22168557327,1,402000105
yC0$1,0,21979127943,1,402000105
lnΓBr,0,21311352053,1,402000105
iOΨψV,0,21476498990,1,402000105
ξ21Tω,0,22839568061,1,402000105
qCd7M,0,22769229160,1,402000105
τQCγ#,0,21912975122,1,402000105
3LΩP8,0,23191674279,1,402000105
χ2fγ6,0,23312239449,1,402000105
ΨbYh3,0,22725290515,1,402000105
δPΘ#X,0,22427881433,1,402000105
4iΦVL,0,21652258225,1,402000105
n1δχT,0,22048628998,1,402000105
!M0ΨJ,0,22011692338,1,402000105
druaΘ,0,22759378613,1,402000105
λβze4,0,21270230246,1,402000105
μΠ86Z,0,21858884697,1,402000105
OwUΦl,0,22067985682,1,402000105
lt4f!,0,21567892947,1,402000105
U#%μO,0,21111223239,1,402000105
SQb$B,0,21601328141,1,402000105
cEbωr,0,21043664463,1,402000105
hgjηG,0,23335483305,1,402000105
@φσpδ,0,22658733688,1,402000105
pικcX,0,21798935456,1,402000105
Ξf2ζr,0,21380049612,1,402000105
Γi$6ψ,0,22389240856,1,402000105
ΣIGMj,0,20597915574,1,402000105
sWIHα,0,21786097955,1,402000105
βRσnΣ,0,21297947199,1,402000105
amσJt,0,21322922146,1,402000105
O@5n9,0,22147330067,1,402000105
Θ@tDm,0,19955612040,1,402000105
Ξε1αη,0,21889392336,1,402000105
!ζ@qg,0,22143559566,1,402000105
VF5pR,0,20692720454,1,402000105
pσu5υ,0,22331960229,1,402000105
FαvzJ,0,22294994052,1,402000105
cTj#Γ,0,21114390912,1,402000105
δ%ΘeD,0,22193820209,1,402000105
RqPxδ,0,22207058601,1,402000105
Qλ0Wl,0,21821848216,1,402000105
AΞ2D5,0,23170208765,1,402000105
θo5nξ,0,22549943236,1,402000105
oPΣΘυ,0,21088322210,1,402000105
L9lκv,0,23285317123,1,402000105
καtoΓ,0,21038400475,1,402000105
ΛηλξΠ,0,22813240962,1,402000105
$zΔk%,0,22754159450,1,402000105
xoreΛ,0,20995065579,1,402000105
MιΔζ1,0,23801150304,1,402000105
ΘΞPΔσ,0,22969148336,1,402000105
φxΠDF,0,22188465781,1,402000105
ΦnAπO,0,22818499534,1,402000105
6OIsn,0,21546698405,1,402000105
ΓN9ιψ,0,22091629676,1,402000105
fIcωT,0,22122298962,1,402000105
Jr16t,0,21812478401,1,402000105
6hΞΛβ,0,22402025978,1,402000105
aξxΨj,0,22135282923,1,402000105
WΓΘe6,0,22478923608,1,402000105
ΠπΘ5F,0,23098357005,1,402000105
tUaβN,0,21975055103,1,402000105
kMcRζ,0,20917161900,1,402000105
τ9ψφθ,0,22613544427,1,402000105
rBXΞF,0,21371673593,1,402000105
VΨπφΩ,0,20722692354,1,402000105
wK%$U,0,20835837568,1,402000105
2VηnΣ,0,22527098071,1,402000105
REψμw,0,22289707884,1,402000105
gfBIz,0,22169518211,1,402000105
υsSjd,0,20986204537,1,402000105
λκbaU,0,22852949411,1,402000105
VRyνλ,0,21470136924,1,402000105
1β2φS,0,22010662273,1,402000105
Kωσμη,0,22969543641,1,402000105
Vg3YS,0,21427538604,1,402000105
Ξmeηl,0,20075803867,1,402000105
HTmχM,0,21688874705,1,402000105
iJPφM,0,21825004195,1,402000105
@νoHI,0,20931017714,1,402000105
F3IS9,0,21133931294,1,402000105
u9HΔi,0,21133379188,1,402000105
Ag4hZ,0,23894647571,1,402000105
cSBQχ,0,22058405738,1,402000105
M4Σ%k,0,23228983561,1,402000105
ΩFEzλ,0,21238399386,1,402000105
lfN83,0,23279664814,1,402000105
3ωKcx,0,21763020064,1,402000105
γΩ9WI,0,22558021150,1,402000105
Λrτ!0,0,21478876816,1,402000105
Ξσ4Θη,0,22143381539,1,402000105
μybfχ,0,23858681779,1,402000105
Rσ5mπ,0,22563055278,1,402000105
ωηOoE,0,22738944661,1,402000105
Gν5rC,0,23147218170,1,402000105
ΘΦp0λ,0,21974666549,1,402000105
$ZjoO,0,23133830924,1,402000105
LaeYK,0,22063246908,1,402000105
uλσsπ,0,21740898443,1,402000105
ξLΣiU,0,22525487051,1,402000105
0pxCΩ,0,12798265405,1,209492220
tcΞγs,0,23089120439,1,402000105
vWRι8,0,23956427773,1,402000105
6X0αd,0,23306621955,1,402000105
Yξ4oz,0,22105629558,1,402000105
ΩvO5o,0,23118431006,1,402000105
m4afΣ,0,23324860609,1,402000105
υ3Gχl,0,23129113889,1,402000105
UMΞtv,0,23082440172,1,402000105
jKαDV,0,23066458741,1,402000105
νTYcJ,0,23864766487,1,402000105
ΘbKJ0,0,21948261682,1,402000105
SH82λ,0,22571461941,1,402000105
oa3Mx,0,22911417753,1,402000105
σnΩIK,0,25403592992,1,402000105
ZyΘ9u,0,22058881837,1,402000105
λιFΣP,0,23852565937,1,402000105
9xΔ7s,0,23950442579,1,402000105
YO15j,0,23414088767,1,402000105
z3YΞD,0,21685637459,1,402000105
DΨαY7,0,23521911181,1,402000105
ζσhβU,0,22375531465,1,402000105
ζCtΦZ,0,21900852380,1,402000105
orywξ,0,21415150075,1,402000105
μτfVB,0,22092741256,1,402000105
IΣXbC,0,21735775994,1,402000105
gυ#βK,0,22474325697,1,402000105
ΘZJζμ,0,21723086910,1,402000105
ΞφAσL,0,21786017695,1,402000105
pz#κξ,0,21585350590,1,402000105
ηδιq$,0,22219570532,1,402000105
auκτ6,0,22295962277,1,402000105
Jχobω,0,22580960390,1,402000105
πΠSΩD,0,23203643165,1,402000105
ΞFr@π,0,21071676982,1,402000105
dfKν3,0,20350380183,1,402000105
N5PζX,0,21716842229,1,402000105
gxελm,0,22165683477,1,402000105
ψXqf4,0,21254000554,1,402000105
@WτΠz,0,22812924855,1,402000105
jCL$F,0,22927944509,1,402000105
LH4ΩJ,0,22551079338,1,402000105
zdvμΘ,0,20521298300,1,402000105
PQυΦI,0,21272861285,1,402000105
φ2ΔLλ,0,21433748122,1,402000105
i7oΦH,0,21740368394,1,402000105
μhασb,0,20848195185,1,402000105
RxκΞo,0,21642020604,1,402000105
δ#ψγτ,0,20405485484,1,402000105
V7jbΩ,0,23110510779,1,402000105
3ξWUβ,0,21857432264,1,402000105
3lιΠ5,0,21397301814,1,402000105
Σπ1ζγ,0,22577770436,1,402000105
χ4#dΘ,0,23503666805,1,402000105
xUByψ,0,22302751372,1,402000105
ΞβMτl,0,22069875909,1,402000105
