String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ZRπΘ4,0,734233,1,1188
ψξPαK,0,371808,1,395
jTRQΔ,0,588336,1,913
0!Bξn,0,446522,1,757
JqνBV,0,844867,1,1388
bSldσ,0,452663,1,754
nH3$t,0,836928,1,1388
a3ηΘΛ,0,572571,1,907
FΣgθT,0,829469,1,1385
ΨκmXβ,0,351671,1,395
CΨZ3c,0,1026952,1,1188
1yjΔΦ,0,588758,1,1032
Jfεpr,0,601845,1,907
SΞβκΣ,0,302008,1,473
ηΞz@o,0,580677,1,910
ξδσIJ,0,410663,1,676
RxΣαP,0,873386,1,1466
OEδΛc,0,588757,1,907
T!aξα,0,448950,1,757
Tβeεh,0,691105,1,954
tα82λ,0,901306,1,1032
%qμwe,0,1607673,1,1391
κUqσ0,0,557813,1,826
HGΨM9,0,997290,1,832
1NWΘZ,0,1033260,1,957
oκsNH,0,860864,1,676
νιd9z,0,716487,1,676
ζΔDZΞ,0,1214075,1,1104
Eβl0t,0,1066930,1,1029
PesΘK,0,461258,1,395
qktGm,0,1004835,1,954
kζτξΛ,0,1295198,1,1188
RjUΘΓ,0,949471,1,957
YyΨnx,0,865007,1,957
Θpkhr,0,561497,1,823
ΞσZΩD,0,818665,1,1185
Zz@ΠP,0,690475,1,1107
$4%yk,0,408424,1,673
DxαUX,0,623113,1,1032
%ugφ!,0,708245,1,1110
lpyνe,0,729967,1,1188
J5EηF,0,687626,1,1107
ω1thl,0,255206,1,392
nzk7J,0,453121,1,757
jK@ΣF,0,818943,1,1385
#ZYλp,0,717799,1,1029
i0ek1,0,694563,1,1104
Io$μΦ,0,903649,1,1475
ezΣwζ,0,473673,1,751
Θux%R,0,303923,1,470
aNΩσ!,0,884067,1,1385
ΔP$Λ9,0,598256,1,913
λeO23,0,768507,1,1185
#XΩλ5,0,812159,1,951
dfλsV,0,366030,1,470
USωWλ,0,631578,1,1038
FxΣOu,0,1119371,1,1029
IpWiw,0,738243,1,1104
ΣKNΩo,0,1930800,1,1469
8$rψΨ,0,1361942,1,1469
KjΠΦs,0,753918,1,1185
4τdxG,0,1122979,1,1388
fνξjQ,0,253323,1,392
θΔταh,0,306770,1,473
kθZ3f,0,1592912,1,1185
ψζεEπ,0,1113540,1,1038
qχOΦr,0,1861020,1,1466
o5ηξG,0,722463,1,1188
iβΘ7R,0,1108554,1,1472
7ΨD3μ,0,875583,1,1466
ΞDμmT,0,250304,1,392
luCξψ,0,825268,1,910
BξβUg,0,735185,1,1188
τ2ΘbK,0,857978,1,913
ψZTΛA,0,794783,1,951
jwtΔV,0,542202,1,826
p@Sδ5,0,533212,1,826
L6qυ$,0,786541,1,826
YyoΩτ,0,596285,1,1038
5w!χ7,0,526832,1,829
2gκSi,0,296312,1,476
OKQγL,0,1146308,1,1388
ΨV2Cη,0,402133,1,676
nMcgγ,0,580755,1,1038
ΣvDOΘ,0,701279,1,1110
8μΔ0f,0,561439,1,904
ΠqDιW,0,1048947,1,1388
ΔΞγxU,0,792402,1,904
wVDyo,0,394960,1,673
OSΠFQ,0,965728,1,1188
πn!JU,0,671993,1,1104
αzaθg,0,1105381,1,1466
γΘRDψ,0,721516,1,1188
gZSυl,0,542649,1,951
r%Pya,0,642534,1,670
εKφβf,0,1046612,1,1385
#@σ6d,0,287179,1,467
qFge%,0,609109,1,676
λawfμ,0,1202322,1,1466
Ξθ64Y,0,262917,1,395
cDKwχ,0,476453,1,754
%μ#aΨ,0,785657,1,829
β$MZζ,0,729401,1,829
ytZN#,0,617780,1,904
8u1O#,0,1284249,1,823
gUψT1,0,538796,1,473
RbλSN,0,543355,1,476
φΦsΣλ,0,1867582,1,1107
BJτaΘ,0,779940,1,748
btNAS,0,399085,1,473
eGX73,0,566336,1,904
TWBj7,0,249246,1,389
fgXWT,0,557077,1,467
pbrqR,0,265107,1,395
ECDμκ,0,826441,1,1035
id!α$,0,589022,1,829
VΣΔγT,0,917025,1,1104
βiNDR,0,878527,1,1469
Ξj!65,0,817640,1,954
4mχyj,0,261126,1,389
Pελpκ,0,818931,1,1029
QhΛξm,0,865658,1,1035
τYνΣP,0,691697,1,1107
6DaQΨ,0,571574,1,910
m7YLy,0,300189,1,476
aΞuδp,0,490153,1,392
t%υw1,0,725636,1,1188
hΨYgδ,0,729347,1,1191
Ξ9σχυ,0,672876,1,676
9#l1μ,0,569446,1,904
ηluφn,0,682550,1,1107
κσzΞ$,0,698022,1,751
e7zAj,0,295859,1,473
!qΨVΓ,0,596283,1,1038
ΘH!bξ,0,1052328,1,1385
1δ0uc,0,586702,1,1035
Σθ6ΨL,0,540353,1,832
xΩzlφ,0,822800,1,910
rμywg,0,739025,1,1191
ξa0μV,0,585356,1,1032
sεφτc,0,247706,1,386
P#oeμ,0,1401441,1,904
QpAwν,0,854370,1,1469
θΔHQx,0,444094,1,757
Δηiθw,0,712341,1,1185
ΘNιΣγ,0,403407,1,676
aΠGhn,0,404461,1,670
τqTκΓ,0,846914,1,1394
rγ2iN,0,548228,1,951
φjshγ,0,406128,1,676
024ι5,0,293722,1,473
rmtNL,0,551900,1,951
πxqoD,0,818822,1,1385
TτRΨK,0,591409,1,1035
2Ω8ιG,0,285992,1,467
IOΣkR,0,578528,1,904
δRxwΣ,0,441741,1,754
ζΨaβi,0,256391,1,395
λYΨbc,0,869778,1,1469
4!ΛψΞ,0,1366974,1,1185
#!jΛr,0,516231,1,470
pχ3qM,0,1008173,1,954
XMLi9,0,1226776,1,1110
5iMTQ,0,1595962,1,1469
ΣιΠ$j,0,1048317,1,910
ΠYHaη,0,1315791,1,1188
0εφsι,0,739527,1,751
xtβΔW,0,1020442,1,904
p9BcL,0,594359,1,1035
ξSΔQg,0,700827,1,1185
Fι1ωp,0,587988,1,1038
XN9BΠ,0,738812,1,1194
TV6ΔΨ,0,249694,1,389
bBA7O,0,587826,1,1038
FLδBm,0,442084,1,757
8κF$!,0,866916,1,1388
λht6p,0,859309,1,1391
QΔn5K,0,582385,1,1038
JαβdΦ,0,723387,1,1188
0ΩA8G,0,247565,1,386
