String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
Σ!fn,0,2458410,1,304
qW5L,0,3400846,1,417
0Klω,0,396071,1,58
ΨμJ1,0,3520999,1,427
ηJwk,0,2948091,1,359
sO6ω,0,2570081,1,322
QoΘκ,0,478411,1,68
J$fψ,0,909792,1,126
VdτΛ,0,406824,1,58
ΣFQ8,0,3283432,1,389
RpΛν,0,498620,1,68
μLυB,0,2267693,1,276
4tgΞ,0,665711,1,96
7hνξ,0,411934,1,58
LκΛη,0,736953,1,98
oAkg,0,2995809,1,359
HτCy,0,1821351,1,239
5wtk,0,999426,1,136
gAνΔ,0,1345532,1,171
ZewH,0,2327553,1,163
ωPkI,0,3248122,1,389
xyVw,0,2448830,1,304
qeστ,0,1336416,1,171
blφm,0,481046,1,68
μjψU,0,2268312,1,276
ζΔDQ,0,2432246,1,304
ΛZA$,0,2501457,1,322
ΓσψD,0,3223431,1,389
ΓΩgδ,0,2493646,1,304
αbre,0,2999341,1,359
ηmHν,0,2549792,1,322
8Dηd,0,493299,1,68
υyYo,0,3362780,1,417
θαhn,0,3382797,1,417
crΠδ,0,477911,1,68
κlBb,0,3382158,1,417
Yk2N,0,2493300,1,304
δ6JΔ,0,2286828,1,284
8Ryb,0,483220,1,68
ζυPr,0,2426651,1,304
iUOI,0,3462238,1,427
x14υ,0,2299814,1,284
znM5,0,3481385,1,427
HπXC,0,1595877,1,201
mkσψ,0,1356100,1,171
λpFT,0,6751979,1,417
