String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
0Jgkκ,0,101232,1,538
isKλσ,0,365527,1,3748
χEQeb,0,695179,1,8142
ΛBwRε,0,263581,1,2618
cL8πr,0,8384753,1,105762
Y59Ol,0,1505404,1,16435
ψEfσμ,0,1033621,1,10486
0qψwj,0,552923,1,6047
ηJδQΓ,0,654828,1,7022
wcθΣΛ,0,483969,1,5337
qPιQΣ,0,543034,1,5962
gSζ2l,0,218016,1,2103
56βhO,0,286757,1,2568
1ΨΘ6D,0,3095582,1,34882
ΓPυbΛ,0,19049780,1,37486
Λαh#k,0,1126075,1,9347
6K%ΣL,0,575701,1,4778
γbM#u,0,356799,1,2838
ηπcYJ,0,8784211,1,18160
7δγ%ψ,0,11828942,1,29873
FTGδυ,0,1116808,1,9087
b$wfT,0,10604988,1,27118
NαHΞ0,0,20923390,1,44150
IγμKα,0,1720883,1,7427
giQυν,0,10104450,1,30227
$λ7zζ,0,84931,1,43
Y!4ζz,0,571529,1,4398
P9pwZ,0,11993742,1,21714
gKΦΠ%,0,7912522,1,14481
79ξgb,0,1014127,1,9177
UΨfEγ,0,20479743,1,61646
KYXFh,0,9306504,1,25803
JTSπn,0,477493,1,3618
ιπqcΘ,0,8461580,1,9982
Kjwdv,0,777925,1,6867
l8χμo,0,12625346,1,39741
sξτχP,0,10175688,1,25213
ζαg$r,0,95668,1,253
0blod,0,7809505,1,15550
ΩΨTOY,0,406242,1,2518
RUhτu,0,10943378,1,33077
3A0Zc,0,8532633,1,20474
XVfψθ,0,1916713,1,12816
UwμkΔ,0,10784851,1,17875
@kS1g,0,9444283,1,27498
TUθ#$,0,18311788,1,46704
εΘFh8,0,188868,1,1218
cWhPζ,0,669272,1,6052
νEMδl,0,18325038,1,53283
CTrQD,0,30901421,1,81042
xmσA5,0,12659344,1,21764
L8rKa,0,1274802,1,10866
HegΘψ,0,832039,1,7517
pβγτ9,0,922897,1,7992
qER5m,0,4720120,1,46839
qγRδθ,0,588110,1,6642
ΠEtaΣ,0,133771,1,978
EΛCτα,0,417919,1,4288
KvyAε,0,293743,1,2453
μ7QΦk,0,1298711,1,11271
f!Σξη,0,2620206,1,18675
1mRΦη,0,537622,1,5697
d6τΨα,0,1102002,1,12541
6BGΞL,0,1274301,1,15220
mFkΨ2,0,1983689,1,18920
dζRzφ,0,3076263,1,36656
jδogI,0,425361,1,4573
MVhiJ,0,2015004,1,21109
tΛKZ6,0,1074939,1,12281
ΘωEλ8,0,1058986,1,11731
αQszA,0,3870972,1,38201
ktvGι,0,817099,1,4063
!Ξzκp,0,254300,1,2293
5@WcG,0,8508415,1,110796
V8ΞθΦ,0,3538398,1,44650
8Πc2ξ,0,304630,1,3088
Λo79Z,0,865703,1,10056
5ψTζv,0,1784939,1,22054
GYAυ!,0,517885,1,5652
KMωpC,0,742287,1,8082
OsτD6,0,1205571,1,12871
qφw@4,0,740652,1,4563
αεΞRΣ,0,206657,1,1453
kηξhΛ,0,2377573,1,27753
ηYΩ%Q,0,764659,1,8957
UΞyηβ,0,1282873,1,14316
ΓYωλ5,0,1756370,1,19645
%ΛMVθ,0,220448,1,1838
VQavJ,0,3714023,1,45854
VΣwab,0,1961088,1,23829
Nraγ7,0,4237623,1,44785
sYΔSp,0,3818442,1,42120
jVRLξ,0,8109455,1,96479
βdΩγ%,0,1557684,1,17210
ErBΩΠ,0,3162682,1,31342
QR1Ψβ,0,3960964,1,39381
0XRrc,0,2789854,1,19460
pπwφ@,0,1234817,1,7067
νPQmN,0,2785874,1,20779
nziHθ,0,818978,1,6147
