String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Eoγdk,0,2513376,1,2739
rYvFω,0,2407696,1,3376
σ#QTψ,0,2057645,1,2895
G%cvs,0,2194806,1,3017
T9ΞDV,0,2183419,1,3020
Yδ1Hι,0,2278477,1,3092
VΣcu5,0,2430145,1,3020
CΨνz2,0,2205629,1,3092
7κnU!,0,2193914,1,3173
ΨμZσy,0,1714812,1,2458
ΣMRHs,0,2157793,1,3089
LVνe8,0,1866184,1,2661
avqID,0,2000498,1,2808
ZRπΘ4,0,2218137,1,3176
ψξPαK,0,1671253,1,2380
jTRQΔ,0,2082093,1,2898
0!Bξn,0,1860363,1,2742
JqνBV,0,3325070,1,3092
bSldσ,0,2036720,1,2739
nH3$t,0,2459727,1,3373
a3ηΘΛ,0,2647889,1,2892
FΣgθT,0,2519947,1,3373
ΨκmXβ,0,1623495,1,2380
CΨZ3c,0,2326680,1,3176
1yjΔΦ,0,2179932,1,3017
Jfεpr,0,2135816,1,2892
SΞβκΣ,0,1934298,1,2461
ηΞz@o,0,2114622,1,2895
ξδσIJ,0,1741603,1,2380
RxΣαP,0,2362239,1,3451
OEδΛc,0,2127777,1,2895
T!aξα,0,1896752,1,2742
Tβeεh,0,2047478,1,2942
tα82λ,0,2316189,1,3017
%qμwe,0,2474660,1,3376
κUqσ0,0,3476802,1,2811
HGΨM9,0,3254151,1,2817
1NWΘZ,0,3345051,1,2942
oκsNH,0,3576724,1,2661
νιd9z,0,1972696,1,2661
ζΔDZΞ,0,3420054,1,3092
Eβl0t,0,3262449,1,3017
PesΘK,0,1709135,1,2380
qktGm,0,2431027,1,3020
kζτξΛ,0,2251239,1,3173
RjUΘΓ,0,2061662,1,2942
YyΨnx,0,2073045,1,2942
Θpkhr,0,2744535,1,2808
ΞσZΩD,0,1890714,1,2733
Zz@ΠP,0,2463965,1,3373
$4%yk,0,1863827,1,2377
DxαUX,0,3487928,1,3020
%ugφ!,0,3343578,1,3095
lpyνe,0,3076418,1,3173
J5EηF,0,2781908,1,3092
ω1thl,0,1891326,1,2377
nzk7J,0,2319143,1,3023
jK@ΣF,0,2496210,1,3370
#ZYλp,0,2142804,1,3017
i0ek1,0,1998897,1,2808
Io$μΦ,0,2376362,1,3460
ezΣwζ,0,1934398,1,2736
Θux%R,0,1718888,1,2458
aNΩσ!,0,2329787,1,3370
ΔP$Λ9,0,1769180,1,2461
λeO23,0,2397750,1,3170
#XΩλ5,0,2009987,1,2936
dfλsV,0,2274035,1,2455
USωWλ,0,2177683,1,3023
FxΣOu,0,2145507,1,3014
IpWiw,0,2519385,1,3089
ΣKNΩo,0,2536654,1,3454
8$rψΨ,0,2486590,1,3457
KjΠΦs,0,2312496,1,3170
4τdxG,0,2280716,1,3092
fνξjQ,0,3154527,1,2377
θΔταh,0,3165780,1,2458
kθZ3f,0,5098740,1,3173
ψζεEπ,0,4459923,1,3023
qχOΦr,0,4940771,1,3370
o5ηξG,0,4596666,1,3173
iβΘ7R,0,4605733,1,3457
7ΨD3μ,0,4586612,1,3376
ΞDμmT,0,3384064,1,2658
luCξψ,0,3793257,1,2895
BξβUg,0,3840283,1,3173
τ2ΘbK,0,3570886,1,2898
ψZTΛA,0,3463975,1,2939
jwtΔV,0,3204278,1,2814
p@Sδ5,0,3240242,1,2814
L6qυ$,0,3307991,1,2814
YyoΩτ,0,2186635,1,3023
5w!χ7,0,2168009,1,2814
2gκSi,0,1780036,1,2380
OKQγL,0,3311505,1,3373
ΨV2Cη,0,1909287,1,2661
nMcgγ,0,2135998,1,3023
ΣvDOΘ,0,2253544,1,3095
8μΔ0f,0,2152995,1,2892
ΠqDιW,0,2448734,1,3373
ΔΞγxU,0,2463949,1,2811
wVDyo,0,1844941,1,2658
OSΠFQ,0,2894502,1,3173
πn!JU,0,2188233,1,3089
αzaθg,0,2486652,1,3451
γΘRDψ,0,2237345,1,3173
gZSυl,0,1987309,1,2936
r%Pya,0,1903083,1,2658
εKφβf,0,2331869,1,3370
#@σ6d,0,1861185,1,2452
qFge%,0,1973027,1,2661
λawfμ,0,2637832,1,3457
Ξθ64Y,0,1781990,1,2380
cDKwχ,0,1880999,1,2458
%μ#aΨ,0,2106786,1,2814
β$MZζ,0,2069219,1,2814
ytZN#,0,2127959,1,2889
8u1O#,0,2183311,1,2808
gUψT1,0,1777398,1,2458
RbλSN,0,1881229,1,2461
φΦsΣλ,0,2498105,1,3092
BJτaΘ,0,2246243,1,3170
btNAS,0,1768917,1,2458
eGX73,0,2054843,1,2889
TWBj7,0,1714270,1,2374
fgXWT,0,1762685,1,2455
pbrqR,0,1730562,1,2380
ECDμκ,0,2372393,1,2939
id!α$,0,2098592,1,2814
VΣΔγT,0,3127403,1,3089
βiNDR,0,2494564,1,3454
Ξj!65,0,2109912,1,2939
4mχyj,0,1807612,1,2377
Pελpκ,0,2114523,1,2933
QhΛξm,0,2399258,1,3020
τYνΣP,0,2225840,1,3092
6DaQΨ,0,1780417,1,2458
m7YLy,0,1832015,1,2461
aΞuδp,0,2098317,1,2814
t%υw1,0,2272183,1,3173
hΨYgδ,0,2593471,1,3176
Ξ9σχυ,0,1836862,1,2661
9#l1μ,0,2031262,1,2889
ηluφn,0,2183897,1,3092
κσzΞ$,0,2237582,1,3173
e7zAj,0,1699240,1,2458
!qΨVΓ,0,2085244,1,3023
ΘH!bξ,0,2376996,1,3370
1δ0uc,0,2068209,1,3020
Σθ6ΨL,0,2105433,1,2898
xΩzlφ,0,2067391,1,2898
rμywg,0,2266116,1,2895
ξa0μV,0,2259228,1,3020
sεφτc,0,1786271,1,2371
P#oeμ,0,2131527,1,2889
QpAwν,0,3669058,1,3454
θΔHQx,0,1991757,1,2742
Δηiθw,0,2912770,1,3170
ΘNιΣγ,0,2686638,1,2661
aΠGhn,0,2750985,1,2655
τqTκΓ,0,3050937,1,3379
